State,Crossing,Stop,Traffic_Signal
AL,2.2222222222222223,2.2222222222222223,15.555555555555555
AR,0.0,0.0,0.0
AZ,17.647058823529413,4.705882352941177,24.705882352941178
CA,2.4242424242424243,2.0606060606060606,7.151515151515151
CO,8.108108108108109,2.7027027027027026,10.81081081081081
CT,0.0,0.0,0.0
DC,11.11111111111111,0.0,22.22222222222222
DE,0.0,0.0,9.523809523809524
FL,7.02247191011236,0.5617977528089888,19.9438202247191
GA,1.5625,1.0416666666666665,5.208333333333334
IA,0.0,0.0,5.555555555555555
ID,0.0,0.0,0.0
IL,4.651162790697675,0.5813953488372093,26.16279069767442
IN,3.1746031746031744,1.5873015873015872,9.523809523809524
KS,0.0,0.0,0.0
KY,5.128205128205128,0.0,5.128205128205128
LA,1.0752688172043012,0.0,4.301075268817205
MA,2.127659574468085,0.0,14.893617021276595
MD,2.5316455696202533,1.2658227848101267,6.329113924050633
ME,0.0,0.0,0.0
MI,2.7777777777777777,0.6944444444444444,10.416666666666668
MN,1.2987012987012987,0.0,5.194805194805195
MO,3.278688524590164,0.0,6.557377049180328
MS,7.6923076923076925,0.0,15.384615384615385
MT,0.0,0.0,0.0
NC,12.222222222222221,0.5555555555555556,28.888888888888886
NE,37.93103448275862,6.896551724137931,48.275862068965516
NH,0.0,0.0,0.0
NJ,1.0638297872340425,0.0,8.51063829787234
NM,0.0,0.0,25.0
NV,25.0,0.0,31.25
NY,2.8000000000000003,0.4,11.600000000000001
OH,3.389830508474576,0.0,12.711864406779661
OK,33.87096774193548,12.903225806451612,37.096774193548384
OR,4.761904761904762,0.9523809523809524,6.666666666666667
PA,8.51063829787234,2.127659574468085,13.47517730496454
RI,0.0,0.0,6.25
SC,1.7543859649122806,0.5847953216374269,12.865497076023392
SD,0.0,0.0,0.0
TN,6.493506493506493,0.0,12.987012987012985
TX,6.860158311345646,1.0554089709762533,22.95514511873351
UT,3.7037037037037033,0.0,7.4074074074074066
VA,3.007518796992481,1.5037593984962405,8.270676691729323
VT,0.0,0.0,0.0
WA,13.333333333333334,1.1111111111111112,16.666666666666664
WI,5.263157894736842,1.7543859649122806,5.263157894736842
WV,0.0,0.0,0.0
WY,0.0,0.0,0.0
